Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,???,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,64,129,367,20.17,120,0,297974317434,306942802101
20000000,20000342,20000342,1472,18,148,301,21.56,155,0,156537249064,165839336633
50000000,50000666,50000666,1472,14,127,396,13.93,124,0,69653592151,81048594661
100000000,100001624,100000624,1472,26,207,608,102.73,145,0,40532109418,52685943287
200000000,199994385,199999385,1472,93,384,866,205.73,356,0,23857667647,38668228852
300000000,300005097,300003597,1472,508,679,861,83.12,680,0,18881492142,33949473293
400000000,400003445,400001445,1472,555,700,882,69.02,697,0,16430124405,31544665454
500000000,500002014,499997014,1472,612,727,952,57.18,729,0,14481002244,30101713128
600000000,600006507,600000507,1472,651,744,915,43.92,744,0,12876868418,29142482341
700000000,700005965,699995465,1472,698,771,997,32.25,771,0,11596368844,28586703017
800000000,799859077,800003033,1472,726,797,1080,20.78,796,0,9836689693,28070579657
900000000,841725086,899999024,1472,689,821,1024,22.76,823,0,8782634288,27933833423
1000000000,801302660,999991894,1472,1139,1380,1656,34.38,1387,0,9508421136,28363327208